Timestamp,Color Counts,Average Areas
2025-03-25 11:01:20.974312,"{'Blue': 5, 'Black': 4}","{'Blue': 16722.8, 'Black': 17147.88}"
2025-03-25 11:01:20.989272,"{'Red': 1, 'Blue': 4, 'Black': 4}","{'Red': 513.0, 'Blue': 19658.75, 'Black': 16758.25}"
2025-03-25 11:01:21.004233,"{'Red': 1, 'Blue': 4, 'Black': 4}","{'Red': 513.0, 'Blue': 19658.75, 'Black': 16758.25}"
2025-03-25 11:01:21.019192,"{'Red': 1, 'Blue': 4, 'Black': 4}","{'Red': 513.0, 'Blue': 19658.75, 'Black': 16758.25}"
2025-03-25 11:01:21.035150,"{'Blue': 5, 'Black': 4}","{'Blue': 16023.6, 'Black': 15946.38}"
2025-03-25 11:01:21.049113,"{'Blue': 5, 'Black': 4}","{'Blue': 16023.6, 'Black': 15946.38}"
2025-03-25 11:01:21.065070,"{'Blue': 5, 'Black': 4}","{'Blue': 16023.6, 'Black': 15946.38}"
2025-03-25 11:01:21.081277,"{'Blue': 5, 'Black': 4}","{'Blue': 16023.6, 'Black': 15946.38}"
2025-03-25 11:01:21.096264,"{'Red': 1, 'Blue': 4, 'White': 1, 'Black': 5}","{'Red': 600.5, 'Blue': 21952.5, 'White': 564.5, 'Black': 12096.3}"
2025-03-25 11:01:21.111253,"{'Red': 1, 'Blue': 4, 'White': 1, 'Black': 5}","{'Red': 600.5, 'Blue': 21952.5, 'White': 564.5, 'Black': 12096.3}"
2025-03-25 11:01:21.127244,"{'Red': 1, 'Blue': 4, 'White': 1, 'Black': 5}","{'Red': 600.5, 'Blue': 21952.5, 'White': 564.5, 'Black': 12096.3}"
2025-03-25 11:01:21.141234,"{'Red': 2, 'Blue': 3, 'Black': 8}","{'Red': 664.5, 'Blue': 29834.5, 'Black': 7742.38}"
2025-03-25 11:01:21.157790,"{'Red': 2, 'Blue': 3, 'Black': 8}","{'Red': 664.5, 'Blue': 29834.5, 'Black': 7742.38}"
2025-03-25 11:01:21.174583,"{'Red': 2, 'Blue': 3, 'Black': 8}","{'Red': 664.5, 'Blue': 29834.5, 'Black': 7742.38}"
2025-03-25 11:01:21.190514,"{'Red': 1, 'Blue': 3, 'Black': 9}","{'Red': 557.0, 'Blue': 30583.67, 'Black': 7140.11}"
2025-03-25 11:01:21.205125,"{'Red': 1, 'Blue': 3, 'Black': 9}","{'Red': 557.0, 'Blue': 30583.67, 'Black': 7140.11}"
2025-03-25 11:01:21.221830,"{'Red': 1, 'Blue': 3, 'Black': 9}","{'Red': 557.0, 'Blue': 30583.67, 'Black': 7140.11}"
2025-03-25 11:01:21.236791,"{'Red': 1, 'Blue': 2, 'Black': 9}","{'Red': 540.5, 'Blue': 49398.75, 'Black': 6968.67}"
2025-03-25 11:01:21.252365,"{'Red': 1, 'Blue': 2, 'Black': 9}","{'Red': 540.5, 'Blue': 49398.75, 'Black': 6968.67}"
2025-03-25 11:01:21.268458,"{'Red': 1, 'Blue': 2, 'Black': 9}","{'Red': 540.5, 'Blue': 49398.75, 'Black': 6968.67}"
2025-03-25 11:01:21.283638,"{'Red': 1, 'Blue': 2, 'Black': 9}","{'Red': 540.5, 'Blue': 49398.75, 'Black': 6968.67}"
2025-03-25 11:01:21.298349,"{'Blue': 2, 'Black': 3}","{'Blue': 53060.75, 'Black': 15927.0}"
2025-03-25 11:01:21.312815,"{'Blue': 2, 'Black': 3}","{'Blue': 53060.75, 'Black': 15927.0}"
2025-03-25 11:01:21.328804,"{'Blue': 2, 'Black': 3}","{'Blue': 53060.75, 'Black': 15927.0}"
2025-03-25 11:01:21.342969,"{'Blue': 3, 'Black': 3}","{'Blue': 37008.0, 'Black': 15778.33}"
2025-03-25 11:01:21.358492,"{'Blue': 3, 'Black': 3}","{'Blue': 37008.0, 'Black': 15778.33}"
